Word,Part of Speech,Definition,Grammar information:
ã^sah,verb,"(three or more) to be (in a place, temporarily);
(one) to be sitting","intransitive, triplural"
ã^swah,verb,"(two) to live (in a place), dwell","intransitive, dual"
ã^wah,verb,to be yawning,intransitive (done on purpose) or stative (not on purpose)
a^yyukah,verb,"all different, various, diverse","stative, Y Grade"
aba',noun,"up, above the head, overhead; heaven",
aba' anũpa',noun,the gospel,
aba' anũpa' dusúle',noun,"minister, evangelist, pastor",
aba' anũpa' ese',noun,"minister, pastor, Christian",
aba' anũpa' estanũpule',noun,minister,
aba' estdalúa',noun,hymn,
aba' patalhpu',noun,"roof, decking",
aba' pena',noun,airplane,
aba' yákani',noun,heaven,
abánableh,verb,"(one) to go across, cross (a street, field, fence, etc.)
to go over (the edge of something, a time limit, a budget)","intransitive, singular"
abánabletceh,verb,"to cause, help, make (someone) go over or cross (a house, road, fence, stream, etc.)","transitive, singular"
abánah,verb,to be laying criss-cross,"stative, singular"
ábanáleh,verb,"to carry (something) on the shoulder, lay (something) on the shoulder or neck",transitive
abánapúleh,verb,"(two or more) to go across, pass over (someone in a promotion), skip over
to go over (the edge of something, a time limit, a budget)","intransitive, plural"
abánih,verb,"to cook over the fire, barbecue, smoke (food), cure, dry (a ham, etc)",transitive
ábannah,verb,"to have need of, be in need of","stative, but takes a direct object, loc."
abannih,verb,"(plural) to lay criss-cross,","transitive, plural"
ábaska',noun,"place where one gambles: casino, etc (new word)",
ábatceh,verb,to practice,intransitive
abayya',noun,"side (of a creek, road, etc.);",
abayyah,verb,to be along the side of (something),intransitive
abayyatceh,verb,"to go along the side (of a creek, road, etc.); to be roaming (from house to house)",intransitive
abe' emma',noun,adjust a little higher (derived from abe emma),
abeh,verb,"to kill (an animal, person, etc.)","transitive, short verb"
abéhah,verb,"(two or more) to enter, go in (see tcukkuwa)","intransitive, plural"
abéka sále,noun,"someone carrying sickness or the sick: a carrier (of a disease), an ambulance",
abéka',noun,"illness, sickness; a sick person, patient",
abéka' apésatce',noun,nurse,
abéka' áyása',noun,"hopsital, place for the sick",
abékah,verb,to be sick,stative
abékatceh,verb,to make (someone) sick,intransitive
abékumuh,verb,"to be sickly, sick for a long period",stative
abelhlheh,verb,"to put (beans, poles, etc.) in the ground",transitive
ábena',noun,camp,
abénah,verb,"to receive (a present, prize, etc.)",transitive
ábenátce,verb,to camp at (a place),intransitive
abénatce',noun,giver,
abénatceh,verb,"to cause to receive (a gift), to give (a present)",transitive
abeskuh,verb,to sneeze,stative
áyable',noun,"place where one steps: a stepping stone, stirrup, etc.;",
able',noun,"step, pace",
ableh,verb,"to kick, stamp, trample; to take a step, tread",intransitive
abúha',noun,"room, house",
abúha' anúkaka' kula',noun,"cellar, basement",
abúha' ánuse',noun,bedroom,á + nuse
abúha' ásubúhele',noun,smokehouse,á + subúhele
abúha' áyása',noun,living room,áy + ása
abúha' áyẽpa',noun,dining room,áy + ẽpa
abúha' áyupe',noun,bathroom,áy + upe
abúha' áyupúni',noun,kitchen,áy + upúni
abúha' kallu',noun,jail,
abúha' nánáyatcéfa',noun,"washhouse, laundromat",nán + áy + atcefa
abúha' pákana',noun,ceiling,
abúha' patalhpu',noun,"flooring (including carpet, etc)",
abúha' ulehta',noun,wall (of a room),
abúha' use',noun,"small room: closet, restroom, bathroom, outhouse",
abúhele',noun,"thicket, woodlands",
ábunulleh,verb," to wrap (something) around, roll up in","transitive, singular"
ábunútah,verb,"to be wrapped in (a blanket, etc.)",stative
ábuyya',noun,ladder (also áyabéya),stative
ádableh,verb,"to overdo, do too much, exceed","intransitive, used with active verbs"
ádakuhtce',noun,"place where one hangs things: clothesline, hooks, hangers, closet, etc.",stative
ádaláya',noun,"place where something is set: a base, foundation (sp. var. átalayya)",á + daláya
ádalúa',noun,"hymnal, songbook",á + dalúa
ádapah,verb,"to be too much, excessive,
to be more than enough","intransitive, used with stative verbs"
ádeya',noun,"way, passage, exit, frontage (older word)",
ádubah,verb,to be made from,"intransitive, loc."
áduksale',noun,"place where someone works: a work table, work place, workshop, penitentiary, etc. (also atũksale)",á + duksale
ádúkuluh,verb,num. second,"stative, loc."
ádutctcé^nuh,verb,num. third,"stative, loc."
afábeh,verb,left (the direction),stative
áfaháta',noun,"swing (on a porch, playground, etc.)",
áfahátah,verb,"to swing in, on, or at","intransitive, loc."
afámah,verb,to meet (someone),transitive
afamme',noun,"year; age (of a person, etc.)",
afamme' nittak,noun,"birthday, birth year",
afánaleh,verb,"to direct, guide",transitive
afánáletceh,verb,"to investigate (something), dig into (a matter), search",transitive
afásah,verb,"to be fastened, locked, latched",stative
afátcale',noun,lock,
afátcaleh,verb,"to fasten (a belt, door, etc.), lock, latch",transitive
áfeléma',noun,"relapse (of an illness, etc.)",
afátchah,verb,to be locked,stative
afénatceh,verb,"to worship, idoloize (someone)",transitive
áfuah,verb,"to scuffle over (a toy, etc.), contend for",transitive
áfuátce',noun,"wrapper (candy wrapper, gift wrapping, etc.)",
áfuha',noun,"place of rest, rest area",
áfuhummeh,verb,"to bind up, wrap around, rim (a basket, etc), to hem",transitive
áfukka',noun,"what something goes in: a case, holder, etc.",
áfulúta',noun,"place where you can turn around: a turn around, circular driveway, circuit, the extent around",
áfutúle',noun,"place to grind grain: mill, grinder, etc. (old word) (also áfatúle, áfutúha)",
ahã^ttah,verb,"(one) to be in (a place) for an extended period, keep staying, exist; (one) to be (doing something at a certain time) (derived from atta)",intransitive
ahálayah,verb,"to care about, be interested; to relate to, pertain to",transitive
ahammeh,verb,"to rub (something) on, spread on, smear on, apply, anoint",transitive
ahammetceh,verb,"to spread (butter, lotion, salve, etc.), anoint",transitive
áhanih,verb,"to wish, desire, aim at, hope, expect, think",intransitive
áhanítceh,verb,"to honor (someone), recognize (someone for their work), favor (a child), praise, applaud",transitive
ahe',noun,potato,
ahe' alwasa',noun,fried potatoes,
ahe' lhubúa',noun,"potato, Irish potato",
ahe' lhubúa' uktcãke',noun,raw potato,
ahe' puse',noun,dried instant potatoes,
ahe' tcãpule',noun,sweet potato,
ahe' tcukka',noun,potato house (a barn for storing potatoes),
ahe' ulbe',noun,boiled potatoes (boiled whole),
ahe' unni',noun,boiled potatoes (cooked until almost mushy),
ahéka',noun,"debt, bills, I.O.U., an obligations; credit",
ahẽkah,verb,to owe,transitive
ahenna',noun,"companion, caregiver (also ahẽna)",
ahennah,verb,"to care for, serve as a companion to",transitive
ahennatceh,verb,to provide a companion to (someone),transitive
ahkah,verb,"to pant (of a dog, etc.)",intransitive
ahpaleh,verb,to kiss (someone) (common term),transitive
ahpeh,verb,"to be the first (first child, first day)",stative
ahtcebah,verb,"to be bothersome, irksome, to be slow, laborious, or tedious",stative
ahtcebáleh,verb,"to trouble, to weary, to render tedious, to protract, to draw out",transitive
ahtcefah,verb,to be washed,stative
ahúbah,verb,"to seem, appear; to feel (sick, etc.)",stative
ahútceh,verb,"to find, discover",transitive
ákalãpe',noun,"place where things freeze: freezer, etc. (also ákalãpetce)",
akálapeh,verb,to be frozen,stative
akalleh,verb,"to patch (something), to mend with patches, to cobble",transitive
